MKA Blade Inspection Log -- 2026-06-01T14:52:09.358732
======================================================================

EVENT LOG
---------
[14:49:18] START Calibration inspection recording started (angle-change gated, peak-sharpness mode)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:31] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:32] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:33] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:34] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:35] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:36] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:37] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:38] ERR   sample error: not enough values to unpack (expected 6, got 3)
